hedge,sentence,usage_a,usage_b,gold,hedge_gold
"creo","yo personalmente creo por lo que yo entiendo como alma, pero no <strong>creo</strong> por alma, como algo inmortal, y mucho menos como algo que retenga nuestra conciencia y emociones cuando nosotros muramos, lo unico inmortal para mi es la energia, puesto que no se puede destruir.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"sugiero","bueno, me arriesgo y te lo <strong>sugiero</strong>...","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"necesariamente","Sin embargo en todo plan hay algo de incertidumbre, y que algo segun una teoria deba funcionar a la perfeccion no significa que <strong>necesariamente</strong> lo hara, aun cuando las mediciones nos parezcan exactas.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"confio","El cienciócrata no es el que confía demasiado en la ciencia, yo mismo <strong>confio</strong>, si no plenamente, de una forma muy acentuada en la ciencia.","Yo confío en que todo saldrá bien. (posibilidad)","Confío el ciudado de mis hijos a José.",FALSE,FALSE
"la mayoria","De <strong>la mayoria</strong> de los temas ya esta en cierta manera ""resuelto"", creo que los que nos preocupa a nosotros es la muerte desde un punto de vista emocional (si es algun ser querido), o como proyectandola hacia nosotros, como un futuro totalmente cierto (algo ams metafisico)...","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"multiples","Europa, tanto en Suramerica como en Africa (aqui sobre todo belgas y franceses) explotaron los recursos naturales de <strong>multiples</strong> regiones, sin pedir permiso porque creian tener todo derecho, al igual que a raptar a los hombres y mujeres de las aldeas y ponerlos a trabajar bajo su mando bajo amenaza de muerte muchas veces cumplida.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"un par","Me encontré este escrito mío de hace <strong>un par</strong> de años que definía mi filosofía de ese entonces.","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"sugiero","Y si quieres saber mas sobre delirios te <strong>sugiero</strong> que investigues un poco mas sobre el movimiento New Age.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"generalmente","No hay que olvidar que existen los pueblos, donde la gente esta mucho mas en contacto con la naturaleza y <strong>generalmente</strong> vive mejor.","Generalmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"practicamente","Me ha parecido interesante traer a colación <strong>practicamente</strong> el discurso integro para debatir determinadas ideas que son intemporales o se repiten en la historia de España.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"a veces","La experiencia es subjetiva y el tiempo <strong>a veces</strong> va mas lento y a veces mas rapido (cuando hablo de tiempo subjetivo me refiero a experiencia del cambio).","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"se ve","Y aquí <strong>se ve</strong> claramente como, aunque sea un gobierno representativo, al final el representado no pinta nada, y el que manda es el representante.","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"imagino","Sin embargo... Ya que <strong>imagino</strong> por donde van tus tiros... Solo por curiosidad... ¿Que opinas de ésto?:","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"quien sabe","O tal vez, hay un ego orgulloso en mi, que le duele que los otros no acepten su imagen... <strong>quien sabe</strong>.","Quién sabe si esto funcione. (incertidumbre)","¿Quién sabe cómo resolver este problema? (buscando alguien)",FALSE,FALSE
"podria","Y aunque no fuera su intencion, no lo <strong>podria</strong> hacer.","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"especulo","Soy asalariado -no <strong>especulo</strong> con la pulsvalía producto de empleados que no tengo, entonces..","Yo especulo que sería mejor esperar. (juicio)","Yo especulo sobre las tendencias del mercado financiero.",FALSE,FALSE
"quien sabe","Yo voy más allá,...¿Trazas de vidas anteriores o futuras?...<strong>quien sabe</strong>..","Quién sabe si esto funcione. (incertidumbre)","¿Quién sabe cómo resolver este problema? (buscando alguien)",FALSE,FALSE
"pienso","Po supuesto que lo enfoco no como deseo, sino como lo <strong>pienso</strong>; no es un argumento para convencer a nadie, sino mi opinión, al igual que la suya:","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"considero","Por lo demas me ha gustado su post Dr, no porque este de acuerdo con ello, como se puede imaginar, si no porque ha entrado en el debate de las ideas, que es lo que <strong>considero</strong> mas importante en un foro de filosofia.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"usualmente","Los póngidos son los que <strong>usualmente</strong> llamamos orangutanes.","Usualmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"entiendo","Emm, esta gente(2 ùltimos) no <strong>entiendo</strong> que hacen a las 6 de la maniana posteando O.o","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"no se","Sin embargo y quiero aclarar que en mi valoración personal, la técnica (a pesar de ser relativa a la cultura de la cual provenga) me resulta más impresiva debido a que es una ciencia que todos podemos comprender (y de aquí mi idea de que el arte es creado por artistas para artistas) y valorar con mayor afinidad, mientras que el puro talento da lugar a la libre interpretación (lo que conlleva no entender siempre la intención del autor), por esto el arte francamente <strong>no se</strong> puede dar sin estas dos cualidades, aunque predomine una u otra dependiendo del artista, o bien el talentoso no podrá igualar las curiosidades científicas del artista técnico, o bien este otro no podrá dotar a sus obras de una personalidad y abstractividad mayor, que no están tan al alcance de la técnica.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"tecnicamente","creo que por ahora esto es <strong>tecnicamente</strong> inviable... Si bien el proyecto haarp existe, pero es solo eso, un proyecto... es un grupo de cientificos investigando... pero la verdad que todavia estan lehjos de tener resultados practicos... que sirvan para algo...","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"aproximadamente","La mayoría de los sistemas de riego funcionan de manera ineficiente, por lo que se pierde <strong>aproximadamente</strong> el 60 por ciento del agua que se extrae, que se evapora o vuelve al cauce de los ríos o a los acuíferos subterráneos.","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"debe","Además, para definir esa categoría <strong>debe</strong> existir un correlato genético o cultural que lo sustente.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"seguramente","Pues mi opinión es que la ciencia llegará a una explicación certera y completa de lo que fisiológica y biológicamente es el amor y sus motivos, explicación con la que <strong>seguramente</strong> estaré en pleno acuerdo.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"principalmente","No quise ser estricto en la terminologia y pense que iba a pasar desapercibido... En realdiad lo que veriamos es la luz reflejada por la tierra, que proviene del sol (<strong>principalmente</strong>)","El orégano se usa principalmente como condimento.","Otro",FALSE,FALSE
"hay quien","Ay dios mio si, <strong>hay quien</strong> quiere morirse","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"medio","la television ha sustituido a la religion como <strong>medio</strong> predominante para conocer la ""VERDAD"".","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"siento","lo <strong>siento</strong> si suena borde, pero ciertas cosas me tocan las narices, y es que la gente me diga cosas por decir que queden bien de cara al resto (véase: ""oh, es que, cómo puedes defender una idea que no conoces?""","Siento que podríamos trabajar más a fondo. (juicio)","Siento un dolor fuerte en el estómago. (sensación física)",FALSE,FALSE
"a veces","Lo de güeis era por una tontería que usamos <strong>a veces</strong> una amiga y yo.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"de repente","Queria contaros, no se si sere rara, que casi todos los dias, estoy hablando y <strong>de repente</strong> digo algo especial, (por excentrico,o justo, o poetico, o certero, o ironico, etc) y a continuacion añado: ""es mi frase del dia"".","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"suena","Esto que <strong>suena</strong> árido y aburrido, puede simplificarse: lo que hasta ahora era regulado por los estados, pasará a ser mercado de libre comercio.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"deberias","Obviamente, la primera opción es bastante más realista; pero si te divierte más la segunda <strong>deberias</strong> decantarte por ésta.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"tecnicamente","- seguramente sea <strong>tecnicamente</strong> imposible para muchos medios.","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"espero","muy buena presentacion, <strong>espero</strong> que disfrutemos compartiendo puntos de vista :3 nos vemos por la red? xD","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"deberias","Ahora bien, si tu quieres a una persona y DECIDEs libremente tener una relaccion con esa persona y comprometerte, ahi es otra cosa, puesto que lo que eliges es comprometerte, y comprometerte significa que en situciones como esta que describes, seras fiel, apoyaras a la persona querida y demas, de todas formas como sugerencia, si tanto deseo sientes por tu vecina quizas <strong>deberias</strong> plantearte tu situaicon actual cn tu novia si esta ya no te atrae, o simplemente te atrae mas otra, experimentar es sano.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"raramente","Y en esto, además, no sólo se ha de tener en cuenta lo que se hace, que se refiere a teorías económicas, de agentes, etc., la principal diferencia con el funcionalismo es considerar la felicidad personal del individuo a evaluar, que <strong>raramente</strong> será alta odiando, como en el ejemplo, todo lo que existe.","Raramente ceno en ese restaurante.","Otro",FALSE,FALSE
"algo","Si vamos a lamentarnos de algo, bien, eso demuestra un deseo de superacion, lo cual es importante, hay <strong>algo</strong> que perturba y molesta.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"debe","Significa que para ser un ser humano feliz <strong>debe</strong> respetar su naturaleza femenina y no buscar ser IGUAL AL HOMBRE.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"virtualmente","Para una persona que <strong>virtualmente</strong> no","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"alguna","Esta es la concepcion mecanica del eterno retorno, cuando se habla del ""eterno retorno de lo mismo"" se acude necesariamente al mecanicismo (la conbinacion de la fuerzas es finita y en algun momento se tendra que repetir <strong>alguna</strong>), si luxfero es un defensor del mecanicismo, no le parecera tan malo esta concepcion de eterno retorno.","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"se ve","Vemos algo, lo interpretamos y lo representamos, ahi esta la creacion, no en lo que <strong>se ve</strong>.","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"gran parte","Hombre, yo croe que <strong>gran parte</strong> del miedo es innato, instintivo, los recien nacidos podrian tenr miedo a lo desconocido del mundo, eso si, a medida que se crece y se aprende y fundan nuevos miedos en el niño.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"algun","mmm... Ya <strong>algun</strong> presocratico hablo de la necesidad del azar.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"basicamente","De forma que no solo ""nos venden el producto"", sino nos hacen vender (aunque tambien hay otras formas de ganar dinero, pero <strong>basicamente</strong> es la oferta de bienes y servicios).","La película es básicamente una parodia.","Otro",FALSE,FALSE
"algo","Pues incluso ""angulo"" es una invencion nuestra que nos ha servido para referirnos a <strong>algo</strong> que hemos observado no? Cualquiera podria ponerle el nombre de ""angulo"" a cualquier cosa si quisiera, entonces la idea de lo que es un ""angulo"" se vuelve algo relativo, por lo tanto la ""Verdad"" sobre lo que se llama ""Angulo"" depende nuevamente desde la perspectiva que veamos las cosas.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"tal vez","Y nosotros que, los artistas los filósofos que, pisoteados,no cabemos en los modelos de la normalidad,<strong>tal vez</strong> amamos,soñamos como todos,disfrutamos de un día de sol como los normales,pero se nos niega todo esto,mientras no dejemos de ser creativos en exceso y pongamos en peligro su laberinto.","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"principalmente","un documental de la BBC acerca de la psicologic que se centra <strong>principalmente</strong> en el psicoanalisis.","El orégano se usa principalmente como condimento.","Otro",FALSE,FALSE
"casi","me siento con mis amigos a charlar sobre la vida y <strong>casi</strong> siempre concordamos en algo que mas tarde los veo contradecir con sus acciones.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"propongo","Tomas, te <strong>propongo</strong> que para que esto vaya avanzando des plazos para decidirnos, votar o lo que prefieras, por ejemplo, hay que tener decidido el regimen tal dia, hasta el X de Mayo para constituir el senado (que habrá que cerrarlo en algun momento) y habrá que decidir si las cosas se aprueban por consenso, por mayoría absoluta o por que criterio.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"diria","Desde mi punto de vista, <strong>diria</strong> que el ser, la voluntad, la conciencia, el universo, etc. todos conforman un -campo- por asi decirlo, como si integraran la misma infinitud.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"generalmente","Un niño no tiene personalidad porque los padres deciden por él; a medida que crezca, ese niño irá desarrollando sus gustos y creencias, <strong>generalmente</strong> ayudado por sus amigos, ya que son los que le darán un aire fresco a su perspectiva en la vida.","Generalmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"basicamente","Así pues, al abordar esta situación, algunas personas llegan a la con­clusión de que la naturaleza humana es <strong>basicamente</strong> agresiva.","La película es básicamente una parodia.","Otro",FALSE,FALSE
"deberia","Lo que sí pienso Ivahn, es que la nada absoluta no <strong>deberia</strong> de ser tanto entendida cómo nada sino como ""estado"", sobre todo cuando en ella, en la nada absoluta, el ser no es ni una posibilidad; de cualesquiera de las formas es una idea que puede ser pensada, y por lo tanto merece un respeto metafísico","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"quien sabe","¿Que quieren introducir diversidad en las señales de tráfico?.....PUES QUE PIENSEN Y HAGAN LO QUE QUIERAAAAAAAAAAAAAAAAAAAAAAAAN XD (entendiendo todos que soy consciente de que no me puedo desentender del todo del todo, porque <strong>quien sabe</strong> si yo llegaré a tener problemas con mi sueldo cuando me toque currar, que es básicamente lo único que me importa).","Quién sabe si esto funcione. (incertidumbre)","¿Quién sabe cómo resolver este problema? (buscando alguien)",FALSE,FALSE
"tal vez","Por cierto, uno no convence al drogadicto de que debe ser salvado, es cuando este pierde a su familia, a sus amigos, lo pierde todo, que empieza a sospechar que... <strong>tal vez</strong> hay algo que esta un poquito mal...","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"bastante","Pero debemos admitirlo: Este error está <strong>bastante</strong> bueno.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"hay quien","Hay quien dice que Cuba es una maravilla y <strong>hay quien</strong> dice que Cuba es una miseria (para ilustrar).","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"parece","Algo no funciona aqui, no crees, octoDoctor, <strong>parece</strong> un rebrote de la edad media, donde las condiciones del mercado actuan de autoridad para separar las clases, pero eso es mala trayectoria, porque favorece la lucha de clases.","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"aparentemente","futuro: <strong>aparentemente</strong> le otorga un valor infinito, para que con esta autoconciencia","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"ocasionalmente","Piensa que muchos de los consumidores de drgoas como la cocaína no la usan como artículo de consumo habitual, como podría ser el tabaco, sino que lo que hacen es <strong>ocasionalmente</strong> pilllarla en grandes cantidades para montar fiestas bestiales en los fines de semana.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"esencialmente","Pasaba por ser, en tercer lugar, <strong>esencialmente</strong> incesante (recorriendo por su propia virtud una órbita recta o en forma espiral).","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"alguno","- Un televisor con relog / o / Un reproductor de musica con relog / o / Un celular con relog que reproduzca mp3 (<strong>alguno</strong> de los tres)","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"mas o menos","El pensamiento crítico, de todas formas, seguramente sea mejor dejarlo <strong>mas o menos</strong> para cuando se explica filosofía en los institutos, considerando el desarrollo de las capacidades cognitivas de los alumnos.","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"ocasionalmente","Esta conducta hace muy difícil de demostrar la idea <strong>ocasionalmente</strong> defendida por las corrientes más radicales del feminismo afirmando que el hombre considerase en el pasado, y dentro de la supuesta sociedad patriarcal, a la mujer como a un ser de valor inferior al suyo propio, al que explotar u oprimir en condiciones de semiesclavitud, y a sus hijos como una propiedad con la que prácticamente no mantenía vínculación afectiva.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"particularmente","Yo <strong>particularmente</strong> esperaría una sociedad que como mínimo contara con todas las personas que forman parte de ella, una sociedad que parte de que unos valen y otro no según el criterio empresarial, no me convence.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"parcialmente","Pero no adoptan medidas para evitarlo, simplemente tienen un modelo de negocio que está <strong>parcialmente</strong> a salvo de la piratería.","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"quiza","Además, en el pasado, prácticamente hasta GrAznar, la situación fue post dictadura (si... pienso que esa situación se alargó en demasía), porque eso era lo que le daba fuerza al socialismo... También hacían demagogia gobierno/s y oposición/es (Ni más ni menos que cualquiera de ahora... simplemente y <strong>quiza</strong>, más inocentemente).","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"poco","Y al igual que a un niño no podemos suministrarle más información de la que puede asumir así mismo se nos desvelara poco a <strong>poco</strong> la verdad.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"puede","Coherente <strong>puede</strong> significar muchas cosas:que una teoria sea coherente significa que las proposiciones que contiene no deben entrar en contradiccion logica,esas proposiciones deben respetar modelos matematicos y ciertas leyes fisicas fundamentales,y deben ser representadas matematicamente;y todas las hipotesis deben ser en cierta formas contrastables con la experiencia.Asi lo veo yo.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"alguno","El significado que los griegos atribuían a lo físico no coincide en modo <strong>alguno</strong> con el que hoy tiene esta palabra, sino que designa la totalidad de la realidad empírica corpórea en cuanto sometida al nacimiento y, en general, al devenir.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"practicamente","Se puede decir que su posteridad filosófica <strong>practicamente</strong> se confunde con la historia posterior de la filosofía, y su radio de acción llega hasta nuestros días.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"siento","si me pregunto a mí misma quién soy, tal vez no sepa explicarlo en una definición, pero tengo claro qué quiero, qué <strong>siento</strong>, etc, así que en conjunto y si lo intento llegaría a una respuesta bastante acertada.","Siento que podríamos trabajar más a fondo. (juicio)","Siento un dolor fuerte en el estómago. (sensación física)",FALSE,FALSE
"mas o menos","En realidad, casi todas las mujeres nos gustan, sólo que <strong>mas o menos</strong>.","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"debe","Para que sea universal <strong>debe</strong> ser una ley, no que sea cierta y justificada.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"generalmente","La razón es sólo una herramienta del ser humano para manejarse en el mundo, más las emociones surgen <strong>generalmente</strong> como polaridades del ego, con excepción del amor y el miedo.","Generalmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"tal vez","El otro, séase el que se fuere, por lo menos tal vez, aunque con rostro insolente, puso los ojos en ti, <strong>tal vez</strong> te oyó, y tal vez te admitió a su lado, y tú jamás te has dignado de mirarte ni oírte.","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"rara vez","Para mi es puro y duro egoismo humano, y con ello creo que superamos el salvajismo animal en este aspecto, ellos matan generalmente por la necesidad de alimentarse y <strong>rara vez</strong> lo hacen por diversion.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"podria","Así por ejemplo la ciencia solo se ocupa de este mundo físico, cambiante y constante, (causalidad) no podría por consiguiente nunca <strong>podria</strong> comprender en su estudio a Dios, al Eidos, substancia, etc Es más, la ciencia no podría deducir nada ni trabajar nada si no es en nuestra precomprension del Ser como identidad, unidad consigo mismo, unidad, número.","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"por decir algo","Primero, es especies o es niveles de conciencia, no es lo mismo; si hubiera una especie como la humana pero con alas (<strong>por decir algo</strong>) sería probablemente más compleja en cuanto a especie pero no en cuanto a nivel de conciencia.","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"quiza","Vuelvo a repetir, <strong>quiza</strong> no sea la acepción más ortodoxa de la palabra pero yo experimento una sensación, que es la elección, y a la que tengo que darle nombre.","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"propongo","En primer lugar, como veo que nuestra república va a tener cierta tendencia al gasto público, <strong>propongo</strong> la creación de la figura del ahorrador.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"parece","Lo de filosofia en oriente me <strong>parece</strong> buena idea","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"rara vez","Por suerte <strong>rara vez</strong> es posible probar ese trastorno.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"no se","Bueno, creo que estás hablando de casos extremos donde es evidente que <strong>no se</strong> ha hecho una buena utilización de la droga.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"supongo","Ojos que no ven, corazón que no siente, <strong>supongo</strong>.","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"pienso","mira yo lei todo el libro la republica d eplaton y <strong>pienso</strong> despùes d ehaberlo leido que socrates fue un personaje surgido de la imaginacion d eplaton, un ser que existia por la propia invencion d eplaton, alguien a quien a quien el le dio vida, razon, pennsamiento, y grandes virtudes.-","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"casi","En los países civilizados <strong>casi</strong> todos los hombres son iguales en cuanto al hecho de buscar trabajo para obtener un salario: para todos ellos el trabajo no es sino un medio, no el fin en sí; por eso son poco exigentes al elegir trabajo, el cual sólo les importa por la promesa de la ganancia, siempre que esta sea considerable.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"podrias","En todo caso lo que tú argumentas podrían ser tonterias también, <strong>podrias</strong> estar incluido dentro de esa mayoría que dice tonterias.","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"necesariamente","""Toda sociedad exige, <strong>necesariamente</strong>, un acomodamiento recíproco, un temperamento; así cuanto más numerosa es, más insípida se hace.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"confio","Hola Raquel, se me olvidó mencionar un pequeño detalle y <strong>confio</strong> que óbice no sea para nuestra amistad incipiente.","Yo confío en que todo saldrá bien. (posibilidad)","Confío el ciudado de mis hijos a José.",FALSE,FALSE
"asumo","Por mi parte <strong>asumo</strong> el título del hilo como la pregunta.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"seguido","aunque uno no lo vea o no le parezca, cambiamos la forma de ser..tiene que ver con la madurez y la edad..al menos yo con 37 años agradezco el cambio que he tenido..de lo contrario si hubiera <strong>seguido</strong> siendo como en algun momento lo fuí...esto quizás nadie lo hubiera leido.","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
"esencialmente","El libro, proyectado como un estudio de biología, psicología y caracterología, se muda en una indagación <strong>esencialmente</strong> filosófica, por el desarrollo de una teoría de valor predominantemente kantiana y de ahondamiento en lo metafísico.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"sin duda","Todo depende de la posición filosófica que adoptemos frente a la vida, <strong>sin duda</strong> que para muchos saber más puede ser el equivalente a una vida más placentera.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"ocasionalmente","Al final de su vida, se produce la gran explosión y su material (polvo de estrella) se expande por el cosmos, lo que, posteriormente al agruparse formará galaxias y planetas y, <strong>ocasionalmente</strong>; vida...","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"virtualmente","Por lo que respecta, aunque esta palabra no es apropiada, a las «tesis», y concretamente a aquella que concierne a una diferencia irreductible a la oposición dialéctica, una diferencia «más profunda» que una contradicción (Différence et Répètition), una diferencia en la afirmación felizmente repetida («sí, sí»), la asunción del simulacro, Deleuze sigue siendo sin duda, a pesar de tantas diferencias, aquel de quien me he considerado siempre más cerca de entre todos los de esta «generación», jamás he sentido la menor «objeción» insinuarse en mí, ya fuese <strong>virtualmente</strong>, contra ninguno de sus discursos, incluso si ha sucedido a veces que haya protestado contra tal o cual proposición de L'Anti-dipe (se lo dije un día mientras volvíamos juntos en coche de Nanterre, después de haber asistido a la lectura de una tesis sobre Spinoza) o tal vez contra la idea de que la filosofía consista en «crear» conceptos.","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"relativamente","Un apartado para las cosas actuales y <strong>relativamente</strong> nimias donde cabrían temas como ""incluir en el código penal las mentiras de los políticos"" o relativos al aborto, a la homosexualidad, ""del dar patatas a un balón"" etcétera.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"hay quien","<strong>hay quien</strong> no quiere aceptarla","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"sugiero","Personalmente te <strong>sugiero</strong> El Método de Descartes, del que aprenderás alguno que otro secretillo interesante jo jo; después, lo que sea que te encontrés.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"aproximadamente","Creo que a día de hoy son bastantes más años.El juego viene estando anunciado desde el 98-99 <strong>aproximadamente</strong>.","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"medio","provocar y exigir reverencia respecto a uno mismo: ascetismo como <strong>medio</strong> de poder:","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"bastante","Aquel es mucho mucho más fuerte y dañino que el sexual que puede tener <strong>bastante</strong> gente.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
