hedge,sentence,usage1,usage2
"propongo","Sus funciones serian simples, hasta el momento <strong>propongo</strong> 3 :","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"parcialmente","Tu mismo te enriedas, Linea 3 y 4 operando <strong>parcialmente</strong> en el 2016 ?","Lo que dices es parcialmente verdadero.","Otro"
"espero","Solo <strong>espero</strong> que el puente lo hagan general y no solo a personal de gobierno.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"medio","Italia no tiene a Marruecos.En el caso de España,Marruecos proteje la frontera y no de forma sutil.Las palizas a negros,la caza indiscriminada a tiros y la deportación al <strong>medio</strong> del Sahara para que se mueran suele ser lo habitual.Por otra parte tenemos vallas en Melilla.De no ser así,entrarían decenas de miles de africanos al año y eso es impermisible.África esta superpoblada y sin des arroyo,allí la gente se matan entre ellos y lo único que saben es emigrar en masa.Una triste realidad.","Juan está medio loco.","Mi asiento es el de en medio."
"ocasionalmente","Se ha hecho una imagen de “crítica” porque <strong>ocasionalmente</strong> cuestiona al gobierno, al PRI y a los grupos empresariales, pero su principal labor es la de apoyar la ideología “liberal” y denostar todo lo que huela a “izquierda”.","Ocasionalmente visito a mis tíos en España.","Otro"
"generalmente","<strong>generalmente</strong> nos reunimos frente a las oficinas administrativas.","Generalmente no salgo los jueves por la tarde.","Otro"
"basicamente","<strong>basicamente</strong> lo que me estás diciendo es que el estándar actual de calidad en tornamesas es muy bajo salvo que pretenda gastar muc ho dinero (más de $1000), lo que me parece demasiado para un tornmesa porque yo no soy un audiófilo.","La película es básicamente una parodia.","Otro"
"poco","Ese &lt;&lt;y tú más&gt;&gt; tan <strong>poco</strong> elegante es sin embargo la mejor manera -por el momento -de &lt;&lt;crisparlos&gt;&gt;, como dicen los muy pedantes.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"imagino","jajaj ya me <strong>imagino</strong> a algunos foristas aguantaditos que vean esta imagen y se imaginen otras cositas","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"necesariamente","Quienes viven insatisfechos no <strong>necesariamente</strong> puede que estén en un error.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"poco","Porque mis padres no encontraron por agregar otro nombre <strong>poco</strong> comun, mi primer nombre lo veras por mi nick, es un nombre que por tradiciones familiares queda en generaciones, es muy antiguo y reconocido .","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"diria","Y eso del 90% es exagerado yo <strong>diria</strong> 50/50 aunque nos digan nacos.","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"sugiero","Les <strong>sugiero</strong> que miren los vídeos ESPECIALMENTE el ultimo, DE VERGUENZA AJENA","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"seguro","Si de <strong>seguro</strong> que hacen la tercera,cuarta,quinta,sex ta temporada enfin temporada hay hay para rato solo depende del rating...y conociendo los gustos de la gente tenemos temporadas para rato.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"sin duda","2. La designación de Mouriño obedece, <strong>sin duda</strong>, a la desazón de Calderón ante el desastre de su administración de facto, que muestran hasta las encuestas oficiales, pues la más reciente de Canal 40 establecía que se sigue desplomando en su índice de aprobación, ahora, según ellos, de 41 por ciento, mientras que sólo 29 por ciento estima que tiene las riendas del país, según Milenio Diario (16/1/08), porcentaje que va a descender más ahora con la entronización del gallego que deja a Calderón cada vez más como un bodoque en Los Pinos.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"considero","Ambos, pero <strong>considero</strong> que soy más extrovertida que introvertida, tengo mis momentos.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"basicamente","Por otro lado, también existe el terrorismo de Estado, que <strong>basicamente</strong> se identifica con la seguridad jurídica.","La película es básicamente una parodia.","Otro"
"relativamente","Sería <strong>relativamente</strong> baja pues 1.70 es bastante superior al promedio femenino en el país.","Esto debería de ser relativamente sencillo.","Otro"
"especulo","Mas pues no puedo saber, de hecho no se de cierto nada, solo lo intuyo o <strong>especulo</strong>, pero de ahi no puedo pasar.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"de repente","<strong>de repente</strong> un pobre extremo de un país tiene casa y un clasemediero de otro apenas puede alquilar la suya... Entonces, es algo infantil también ese tipo de medición...","De repente sentí muchas ganas de jugar futbol.","Otro"
"considero","Gracias, le puse acentos, <strong>considero</strong> las comas están bien para indicar la pausa, use comillas para indicar citas textuales.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"por decir algo","Como cotorreo me imagino que pasará, <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"de repente","Estas equivocado, no es así.....<strong>de repente</strong> tu CV no daba para más....","De repente sentí muchas ganas de jugar futbol.","Otro"
"espero","<strong>espero</strong> comentarios haber si me falta algún paso o informar éxito en el cobro del dinero.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"quien sabe","Para nada amigo solo te lleva 3 dias hacerlo (bueno en USA) en Mexico <strong>quien sabe</strong>.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"varios","disculpa pero me parece un poco errado tu ranking ^^ XD porque supuestamente estas poniendo que el examen de la UNAC es un poco más dificil que el de la UNMSM.... yo no diria lo mismo ya que tengo varios compañeros que han postulado a la UNAC y a la UNMSM y he visto que en la primera han sacado un puntaje más alto que en la segunda haber es como un 12 en SM y un 15 en la UNAC poniendolo a base d 20 y no ha sido uno sino <strong>varios</strong> ^^","Tenemos varios servicios disponibles.","Otro"
"medio","´Ta raro, me late que han de ser rollos <strong>medio</strong> políticos, pero no quiero pecar de ""sospechosismos"" (Manuel Vega dixit) jajaja","Juan está medio loco.","Mi asiento es el de en medio."
"alguna","<strong>alguna</strong> ves he puesto en mis post que los Beatles jamás fueron influenciados por nadie?.Ellos no inventaron la pólvora y las influencias de ellos tambien fueron influenciados siguiendo una cadena que se pierde en la musica africana y los sonidos country del Estados Unidos de los inicios de su historia.","Alguna pluma habrá caído por la abertura.","Otro"
"no se","Un tipo valiente como yo, <strong>no se</strong> molesta, no puedo decir lo mismo","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"casi","Eso voy hacer, pero lo malo es que salgo tarde de mi trabajo y llego <strong>casi</strong> a las 5:30 y para eso ya se quito =(","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"probablemente ","Es <strong>probablemente </strong>el comentario más estúpido que he visto hoy.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"algo","Si <strong>algo</strong> es erróneo, lo es porque bajo el análisis de lo expectado, de lo referente, es erróneo.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"un par","setimo ciclo, y bueno no vi necesario dar mas detalles pero tengo amigos de la uni, ya que yo soy alumno cepreuni, y he vsito practicas examenes y cuadernos y no me asusto para nada..tamos al mismo nivel.....bueno hasta hace <strong>un par</strong> de anios que fue lo ultimo que vi...es mas en general los libros guia de los cursos tocan lo mismo....no entiendo porq aveces esa rivalidad en algunos alumnos tanto pucp como uni.....vamos a ser colegas a las finales....ojo, yo hablo a nivel academico y en electronica, de las demas carreras no tengo conocimiento....pero cuando estuve en cepreuni...los mismos profes decian que era igual......ya saca tu tus conclusiones.....","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"deberias","Que gay eres tio, tu no <strong>deberias</strong> ser pitufo perezoso si no vanidoso","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"debe","Alvaro Uribe <strong>debe</strong> ser el proximo presidente.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"se ve","Supongo que a ti, que <strong>se ve</strong> que la escuchas, te ha de haber encantado que fue la primera en revelar el parentesco de la familiar incomoda de la momia del rebozito, en el caso de las rosticerias de hermosillo, no?","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"se ve","<strong>se ve</strong> claramente a partir del minuto 1:10 como usa su poder mental para manipular al otro jugador...","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"sin duda","<strong>sin duda</strong> que mejoraría la perspectiva de la universidad en general, pero eso depende de los que la dirigen y no de nosotros","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"casi","Recientemente los últimos meses que mi enamorada se matriculó para estudiar a Distancia en una universidad, eso y encima el trabajo en el que trabaja mas de 8 horas, no le daban todo el tiempo para darselo al bebe y cuidarlo netamente, por lo que, la madre de ella se ofreció para cuidar, ""Todo con segundas intenciones"", porque ya han estado maquinando eso en sus cabezas, estos últimos meses, ella de igual forma iba interdiario a ver al bebe y a quedarse con el, porque cabe resaltar que despues del primer incidente que mencione antes, ella salió de la casa de sus padres y nos fuimos a vivir a un departamento, y ayer que mi enamorada quiso sacar al bebe para traerlo para nuestro departamento para pasar hoy feriado con el bebe no le quisieron dejar sacarlo en el colmo de la conchudez, la jalonearon con el bebe en brazos y la golpearon, yo la estaba esperando en otro lugar para darle alcance porque si me veían alli hubiese sido peor, la cuestion que ella me llama desesperada que la estaban reteniendo, fui corriendo y me recibieron con piedrones, peor que delincuente, la verdad caca seria poco decir lo que tienen en la cabeza estos señores, obviamente solo trataron de intimidarme, <strong>casi</strong> me agarro a golpes con el sujeto pero el cobarde nunca quiso salir, solo hacia ademanes pero ya saben como son este tipo de gusanos que se esconden bajo las faldas de las mujeres, en fin, luego de alli tuvimos que dejar al bebe y nos fuimos directo a la comisaria, justo cuando estabamos planteando la denuncia llegaron ellos, no se porque el policia nos hizo salir de la sala, les tomó primero la declaración a ellos y luego a mi enamorada, solo nos dieron un oficio indicando lo del maltrato y que no le quieren dar al bebe, pero antes de entablar la denuncia nos dijero que ella vaya al médico legista, cosa que por ser las 2 de la madrugada no habia quien la tomase en el poder judicial, por eso ahora hace instantes ella ya se lo tomó y ahora nos encontramos por el poder judicial de su zona, para la mala suerte me acaba de informar ella que no la quieren atender por ser feriado y no hay nadie que atienda, quiero sus consejos porfavor.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"algun","computo general... no es cuando lanza <strong>algun</strong> resultado como por ejem.","Algún lápiz habrá caído por la abertura.","Otro"
"seguido","Las primeras veces no notaras un cambio radical, si es <strong>seguido</strong> obvio que es dañino y te puede causar caída de cabello y malograrlo en general al igual que tu cuero cabelludo.","Mis padres me visitan muy seguido.","Otro"
"podrias","También <strong>podrias</strong> referirte a galatas 5 en donde cita los frutos del espiritu santo:","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"deberias","Creo que <strong>deberias</strong> leer antes los anteriores mensajes y te daran algunas direcciones.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"principalmente","son la segunda fuerza opolitica del pais y todo lo mandaron al EXCUSADO <strong>principalmente</strong> en el DF.","El orégano se usa principalmente como condimento.","Otro",""
"bastante","Pero yo prefiero partir de algo <strong>bastante</strong> real como la persona, el individuo, en lugar de presuponer cierto principio ""superior"" para fundamentar la temática moral.","Hay bastante trabajo por hacer.","Otro"
"bastantes","Por otro lado no tenian <strong>bastantes</strong> fuerzas para atacar la URSS, la mayor parte de sus divisiones se encontraban en China y solo hubieran podido disponer de una docena de divisiones, insuficientes a todas luces.","Hay bastantes cosas por hacer.","Otro"
"quiza","en el futuro no solo se podrá detectar movimientos naturales con el desarrollo de la tecnología se podrá detectar a personas en tierra en tiempo real, bueno quien sabe quizá EEUU ya tenga esta tecnología desarrollada en el area 51 gracias a DARPA o <strong>quiza</strong> ya lo hallen desarrollado hace muchos años pero","Quizá sea mejor que hablemos con tu familia.","Otro"
"supongo","Como jubilado del IMSS <strong>supongo</strong> que paso un friego de anios haciendose guey para malatender pacientes.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"reducido","Yo te pongo lo anterior para ver si ""la ves"", para ver si te abstraes de tu <strong>reducido</strong> plano fisico y tratas de ir mas alla.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"sugiero","Por eso le <strong>sugiero</strong> a él y a otros interesados .","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"confio","Francamento con <strong>confio</strong> mas en las vacunas Chinas, que en las vacunas gringas o europeas en el caso de la influeza y el porque radica en los problemas que han presentando los laboratorios mas comunes.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"multiples","<strong>multiples</strong> regulaciones y realizado varias afirmaciones inciertas.","Tenemos múltiples servicios disponibles.","Otro"
"alguna","Los árabes cristianos son seguidores, por lo general, de <strong>alguna</strong> de las iglesias de oriente: coptos, maronitas, griegos ortodoxos o griegos católicos.""","Alguna pluma habrá caído por la abertura.","Otro"
"aproximadamente","A Ventanilla no estoy seguro, pero la última que va con dirección a Villa el Salvador pasa por aquí temprano nomás, <strong>aproximadamente</strong> a las 10:00 p.m. de la noche.","La pared mide aproximadamente 15 metros.","Otro"
"alguien","Si usted ve que <strong>alguien</strong> no ***ple con las reglas, hágaselo saber al Staff y el mismo se encargará del problema.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"algo","ciertamente yo no creo en su existencia pero respeto a quienes si la tienen, pero la lógica, la historia y la ciencia muestra que dios no es amor, si dios fuera amor no habrían niños que solo rezan por tener <strong>algo</strong> qué comer o algo con qué abrigarse y si dios está esperando que los ayudemos... mientras espera, ellos se mueren.... y para mi eso no es amor.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"multiples","bien, el tema lo debemos forear con calma, segun se, carlos, el reino de DIOS esta en el cielo y en la tierra lo representa la IGLESIA y la iglesia en si somos todos los seres humanos que lo deseemos o seamos "" elegidos "" y ocupemos los cargos ecleciasticos o los <strong>multiples</strong> grupos de laicos.","Tenemos múltiples servicios disponibles.","Otro"
"algunos","En <strong>algunos</strong> asuntos, la teoría de Huntington no se ha cumplido aún.","Algunos dicen que murió ahogado.","Otro"
"sin duda","Si <strong>sin duda</strong>, toda la razón campeón.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"particularmente","A mi <strong>particularmente</strong> no me sirvieron los psicólogos, siempre dejaba de ir a la 3era o 4ta cita por que no sentía ningún cambio y yo perdía la paciencia, por lo que estoy en busca de un psiquiatra que espero me de una salida definitiva.","Esto no es particularmente divertido.","Otro"
"encuentro","me imagino que esto queda en la zona norte pero en el mapa no lo <strong>encuentro</strong>","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"bastante","En mi opinión el no poder ser idealista es <strong>bastante</strong> triste, a todos nos mola el rollito Maquiavelo, pero no podemos justificarlo realmente igual que no puedo el en su dia salvo sustituyendo los valores imperantes en sociedad.","Hay bastante trabajo por hacer.","Otro"
"un poco","Por mi parte no le tomo interes &amp; de las personas que me he sentido <strong>un poco</strong> atraido, siempre me terminan decepcionando de alguna forma, no me refiero a dentro de una relación, sino por ejemplo sabes que es una chica bondandosa con los animales &amp; tranquila,entonces ella te genera interes, pero te enteras que es prejuiciosa &amp; le gusta generalizar, entonces esa atracción desaparece poco a poco &amp; inclusive puede llegar a desvanecerse, aunque es normal que suceda ello en tan solo una atracción.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"deberias","No, no es gay, y no <strong>deberias</strong> juzgar por las apariencias, las costumbres culturales y sociales de las personas no determinan su sexualidad, por ejemplo los arabes y los rusos se saludan de beso, y no son gays, al contrario para ellos la homosexualidad es abominacion, En escocia los hombres usan falda, en la antiguedad los hombres usaban vestido, eso no es homosexualidad solo son diferencias culturales.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"bastante","Un papel estelar junto a un ídolo como Jorge Negrete era una puerta lo <strong>bastante</strong> grande para que la cruzase sin reparos una mujer dotada de tanto carisma y autoestima.","Hay bastante trabajo por hacer.","Otro"
"algunos","El finde semana que viene estaré por allí necesito <strong>algunos</strong> accesorios como flash, trípode, softbox y algunas cosas más.","Algunos dicen que murió ahogado.","Otro"
"necesariamente","Así pues, es superficial decir que porque supuestamente Wiracocha o Sume, etc, fuesen educadores rubios o barbados que llegaron a estas tierras, <strong>necesariamente</strong> tienen que ser todos ellos nada más y nada menos que Cristo resucitado.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"creo","¿Os encantan las definicones eh? pues esta vez paso de poneros el link a wikipedia que no <strong>creo</strong> que haga ni falta.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"alguno","Creo este tema debido a que ya mañana empieza el Rally y porque varios foristas estan emocionados con el Dakar e iran a verlo y de seguro tomaran fotos asi que aqui pueden postearlas para que los que no tuvieron suerte de ir aunquesea lo vean por fotos, por mientras yo no me encuentro en Lima pero tal vez <strong>alguno</strong> de ustedes fue al village y tomo fotos, cuando pase por mi ciudad posteare mis fotos.","Pedro no dejó rastro alguno.","Otro"
"propongo","En cuanto a lo del maltrato infantil, <strong>propongo</strong> que en un futuro se aplique multa a quien haga una pregunta así para desprestigiar a quien pide equidad de género.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"tal vez","<strong>tal vez</strong> tuvo problemas en algun reten policiaco o militar y eso lo trae muy herido, su queja principal son la inconstitucionalidad de los retenes, algo le paso...Saludotes mariloli...","Tal vez sea mejor que hablemos con tu familia.","Otro"
"asumo","Cuando dices que esperas al hombre perfecto para ti, <strong>asumo</strong> que te refieres a que esperas encotrar una pareja y tener una relacion de enamorados.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"especulo","CSKA  : La verdad me hubiera gustado que ganen, especialmente viendo lo mezquino que fue el madrid que <strong>especulo</strong> demasiado.Solo vi el primer tiempo, me parece que en el segundo entro Honda lo cual me parece raro, a lo mejor recien se recupero de una lesion o algo.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"un par","Mira Tío, muy al margen de si eres ateo o creyente, déjame decirte que necesitas ir a ver a un psicoanalista, y te lo digo en serio, porque tu no has nacido adelantado a tu tiempo, ni eres futurista, de hecho ni siquiera sabes escribir y argumentar correctamente, solo tienes <strong>un par</strong> de argumentos los que repites constantemente, y no te da para enfocar el tema de otros ángulos, puesto que si es verdad lo que dices esta verdad debería poder ser demostrable desde diferentes ángulos... te acabo de presentar un nuevo enfoque, y lo obvias, porque no tienes la capacidad de cuestionarlo..... de hecho tu vocabulario es bastante limitado y no te sabes mas adjetivos que decir ""febril imaginación""","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"alguien","Puede parecer extemporaneo mi comentario, pero generalmente no dejo de contestar cuando <strong>alguien</strong> se dirige a mi aunque nunca haya sido mi intención interactuar con esa persona.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"raramente","que en esos pueblos de la sierra <strong>raramente</strong> hay robos, porque LA MISMA GENTE ayuda, y es una excusa estupida eso de que ''puede tener un arma blanca y apuntarte'' si entre 7 u 8 se lo inmoviliza no tiene oportunidad de sacar ningun arma y mientras se lo sostiene se le quita el arma y se quedo desprotegido, se llama el serenazgo y un chorito mas a la carcel, es facil, solo que la gente es indolente e indiferente, solo piensa en sexo y comida","Raramente ceno en ese restaurante.","Otro"
"alguno","esto no tiene sentido <strong>alguno</strong>","Pedro no dejó rastro alguno.","Otro"
"debe","claudia serpa esta vez si canto como <strong>debe</strong> de ser, pero aunque la custionen por ser bonita, deberia mejorar para la proxima","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"alguna","Vean a las mujeres indígenas que traen a su chiquillo colgado en la espalda, <strong>alguna</strong> vez los han escuchado llorar?","Alguna pluma habrá caído por la abertura.","Otro"
"probablemente ","No creo que pague, <strong>probablemente </strong>cobre.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"deberia","Creo que ahora los bancos y financieras reparten sus tarjetas a diestra y siniestra con toda la intención de que no las podamos pagar para ellos hacer ahí su gran negocio cobrando comisiones, moras y gastos administrativos con intereses astronómicos, creo que esto de la tarjeta de crédito se <strong>deberia</strong> de regular para evitar que mucha gente caiga en esto","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"generalmente","conozco muchas como tu lo señalas y <strong>generalmente</strong> los tienen y le ponen niñera o sus familias las cuidan.","Generalmente no salgo los jueves por la tarde.","Otro"
"entiendo","Precisamente por eso no <strong>entiendo</strong> a que venía eso, porque no veo el conflicto de definiciones por ninguna parte.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"rara vez","Por otro, si bien <strong>rara vez</strong> hago comentarios suelo entrar mucho al foro, para informarme sobre algún tema en particular o para ""ver qué onda"" y últimamente cada vez que entro en la mesa redonda hay una página entera de threads nuevos que se podrían resumir en 2 o 3 y eso lo que genera es que quizá otra información relevante quede relegada o perdida.","Rara vez ceno en ese restaurante.","Otro"
"creo","Mientras ustedes haterean en PES14 yo sigo jugando Nintendo World Cup  ok, fuera de bromas, los peores juegos de este año para mi fueron el RE Operation Raccon City y....uhmm...<strong>creo</strong> que nada mas, ¿por ahi lei que Last of US es mal juego?","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"seguro","Yo pense que la linea 34 era un vago recuerdo de mi niñez, hasta que por mi casa una vez se abre una cochera para que entre un auto y veo al fondo un vejestorio azul con techo blanco y franjas amarillas, todo empolvado el pobre bus <strong>seguro</strong> que no avanza solo ni un miserable metro, el techo parecia plomo.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"gran parte","Hemos eliminado <strong>gran parte</strong> de los elementos aleatorios de DotA para que depend‡is m‡s de vuestra habilidad que de vuestra suerte.","Una gran parte de ustedes me conoce.","Otro"
"gran parte","Ha la muerte de Muhammad, Khalil derroto a una coalicion de ejercitos arabes politeistas que se proponian destruir a la comunidad musulmana durante el reinado del califa Abu Bark, pero aun en tiempo de Muhammad, tres meses despues de su conversion Khalil partio con un ejercito de 3000 hombres a la region de Mutah en Siria que era territorio Bizantino, se enfrento en una batalla contra el ejercito bizantino que era de 200.000 contando sus tropas arabes auxiliares, khalil fue derrotado pero salvo <strong>gran parte</strong> del ejercito.","Una gran parte de ustedes me conoce.","Otro"
"ocasionalmente","Yo fumo <strong>ocasionalmente</strong>.","Ocasionalmente visito a mis tíos en España.","Otro"
"seguro","Claro, claro, y de <strong>seguro</strong> que todos escribimos igualito, hasta con el mismo color de letra así como su amiguito el baneado TRES VECES olivercap.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"asumo","En realidad tengo 30 juegos, pero <strong>asumo</strong> que mucho de ellos algun dia los pasare.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"puede","<strong>puede</strong> ser qe el faso me haya bajado la presion un toqe porque me suele pasar eso de vez en cuando, y maquine mal con la panza y la pasti me tiro para abajo.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"supongo","Lo primero que les voy a mostrar son las señales que ellas mandan y que son por demás clarísimas, aunque, en verdad, <strong>supongo</strong> que ustedes ni cuenta se dan..,","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"quiza","ni idea cuanto estará ese modelo, pero de lo que sí estoy seguro es de que cuesta mas de 100 soles, quiza este en un rango de 250-300 soles o <strong>quiza</strong> más, y bueno, eso de como saber si es original o no, la verdad no lo veo necesario, no creo que tu primo estando en usa te regale cosas bambas","Quizá sea mejor que hablemos con tu familia.","Otro"
"suena","Y sí, <strong>suena</strong> a flatulencia porque está bien AL PEDO.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"imagino","Seria bueno que regrese Zona de Miedo.... me <strong>imagino</strong> que para hacerle competencia al programate de Carlin ""Psiquicos""...","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"algun","hay <strong>algun</strong> team formado?","Algún lápiz habrá caído por la abertura.","Otro"
"esencialmente","Las mismas acciones siempre generan los mismos resultados, claro quizá con otro aire, otras personas, otras circunstancias, pero <strong>esencialmente</strong> se obtienen los mismos resultados.","La película es esencialmente una parodia.","Otro"
"especulo","Mi comentario fue tambien por parte de os rumores extendidos de los ""negocios"" que hacen nuestras fuerzas armadas y el caso del hermano de humala, cuando la prensa <strong>especulo</strong> sobre las ""conversaciones"" de este con algunos militares rusos y se especulo sobre ""faenon""","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"casi","Lo hicieron <strong>casi</strong> sin publicidad y nadie sabe que es lo que hicieron allá y que es lo que tienen montado.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"particularmente","El doctor que me atendió sí me dijo que es posible que no salga con un 20/20, eso puede ocurrir, es más, hasta sé que en algún tiempo puede regresar, incluso puedes necesitar lentes para ver de cerca, y no exactamente porque el laser haya dañado tu ojo, sino que a veces la miopía puede estar cubriendo alguna otra carencia visual... <strong>particularmente</strong> el problema que a mí me ha surgido es que mis ojos se llenan de grasita, y es que mis pestañas son de tipo graso, y cuando usaba lentes toda esa grasita se quedaban en las lunas (ahhora entiendo porque no me duraban las resinas!), pero ahora que ya no los uso se me van a mis ojos cuando duermo, la solución que me han dado es lavarme las pestañas con agua y un poquito de champú, pero en realidad deshacerse de los lentes es una maravilla, yo estoy super feliz!!!","Esto no es particularmente divertido.","Otro"
"virtualmente","Esto es patente en la publicidad y <strong>virtualmente</strong> en cualquier espacio de la sociedad de consumo en la que vivimos.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"podria","Lo de amloista.. lo <strong>podria</strong> pasar...","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"particularmente","También estamos a favor de que todo joven mexicano, <strong>particularmente</strong> los de pobreza extrema, tenga derecho y acceso a un par de tenis Louis Vuitton de 12 mil pesos.","Esto no es particularmente divertido.","Otro"
"principalmente","Las diferencias estan en que el MDMA funciona principalmente liberando serotonina, mientras que la Mefedrona funciona <strong>principalmente</strong> liberando dopamina.","El orégano se usa principalmente como condimento.","Otro",""
"basicamente","Pero de esa manera asi como piensan los jovenes y varones en la actualidad, <strong>basicamente</strong> las posibilidades que te tomen en serio son bajas, serias mas que todo el levante de una noche, ahora si le gustas claro te va seguir buscando para otras veces mas y si es desacomplejado o sumamente monse quiza se enamore de ti.... no digo que sea malo, pero asi estan las cosas ahora.","La película es básicamente una parodia.","Otro"
"gran parte","La Fundación Vicente Ferrer lleva a cabo su labor humanitaria en el estado de Andhra Pradesh y presta ayuda a más de 2,5 millones de personas en la región de Ananatapur, gracias en <strong>gran parte</strong> a los 155.000 socios que tiene en España","Una gran parte de ustedes me conoce.","Otro"
"hay quien","Claro que hay quien se burla de lo que hacen los demás, pero por todos lados existen personas que se dedican a eso, dime si no es así, claro que <strong>hay quien</strong> se burla pero a la goma con ellos, y mira que yo tengo cada compañero de trabajo que a lo único que se dedican es a ver la paja en el ojo ajeno y que etiquetan a la gente por su edad, su modo de vestir, su vida privada, etc. y ahí pues ni modo de mentir.","Hay quien dice que murió ahogado.","Otro"
"frecuentemente","En la TV veo muy <strong>frecuentemente</strong> los anuncios de Open English.","Mis padres me visitan frecuentemente.","Otro"
"gran parte","Cortés planeó una victoria en base a la estrategia: fue sobornando con tesoros a <strong>gran parte</strong> de los hombres de Narváez, luego abandonando Tenochtitlán cayó sorpresivamente sobre Narváez en Cempoala; quien inútilmente intentó organizar un contraataque, ya que sus propias huestes habían saboteado la artillería y caballería, quedando tuerto durante la reyerta fue hecho prisionero.","Una gran parte de ustedes me conoce.","Otro"
"usualmente","Pero <strong>usualmente</strong> a carro lleno, si dices que estaba vacio seguro queria algo.","Usualmente no salgo los jueves por la tarde.","Otro"
"aparentemente","Y no, no creo que por mas pensar sea malo, si no lo contrario, cuando piensas mas, encuentras mas respuestas, y mas explicacion a la vida, que a veces la entidad antes <strong>aparentemente</strong> invisible llamada sociedad, le vas encontrando sentido.","Aparentemente habrá un concierto esta tarde.","Otro"
