hedge,sentence,usage1,usage2
"deberia","Aunque tu hicieses el papeleo de renuncia al nacionalizarte Holandés, cuando esos papeles les llegaron al consulado español de turno, se pusieron en una carpeta del olvido y allí están criando polvo... estos papeles por regla general no se suelen mandar al Registro Civil, que es dónde se <strong>deberia</strong> formalizar la renuncia a la nacionalidad Española.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"virtualmente","Y para lo que necesites, desahogarte, gritar, llorar <strong>virtualmente</strong>, lo que sea.... pues ya sabes.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"aparentemente","Pero veo que estás en un régimen mucho mejor que el mío, <strong>aparentemente</strong> lo tuyo es más libertad condicional que aislamiento, jejejeje.","Aparentemente habrá un concierto esta tarde.","Otro"
"no se","Yo creo que Radiohead o NIN <strong>no se</strong> estan muriendo de hambre y fue muy famoso que el último disco de Radiohead lo daban en internet al precio que tu quisieras pagar (que podian ser 0 euros), y al final se sacaron una pasta gansa.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"debe","Le echaré morro, ahora iré a limpiar los cacharros (cosa que mi compañera no <strong>debe</strong> de saber lo que es... ya lo he dicho por ahí 72h una olla con arroz pegado, hay que ser guarris pero que muy guarris :D ) y si hago ruido o le salpica al portatil que se aguanten.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"un poco","Por Williamsburg hay mil sitios (Union Pool, the woods, peter candy store, brooklyn bowl...) Greenpoint o Park Slope también tienen mil opciones <strong>un poco</strong> más baratos que Manhattan y es un cambio :)","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"relativamente","los chistes de gallegos estan <strong>relativamente</strong> justificados, con el","Esto debería de ser relativamente sencillo.","Otro"
"de repente","Además,cuando llamas a una puta dices lo que vas a hacer,no es que <strong>de repente</strong> le digas quiero que comas el ""orto"".Si es que hay tantos ingenuos en este foro...¿No véis los programas en televisión?","De repente sentí muchas ganas de jugar futbol.","Otro"
"relativamente","es igual con que sea un sitio tranquilo y <strong>relativamente</strong> cerca... ;)","Esto debería de ser relativamente sencillo.","Otro"
"deberias","Si entras en Estados Unidos y te vas a Mexico, cuando salgas por la frontera entregas el permiso que te dieron y no <strong>deberias</strong> de tener problema para volver a entrar.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"seguramente","A mi me hace gracia el careto de la gente que no es Española cuando estás trabajando fuera, osea, los ""locales"", cuando les dices que lo de la siesta que en general no tenemos ni tiempo para hacerla y que tampco es tan típico, que será <strong>seguramente</strong> en la parte sur de España por el calor en verano...","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"seguido","Hola kaleva, no te preocupes por que Xalapa es una ciudad muy segura, mira yo soy muy miedosa y sin embargo voy <strong>seguido</strong> sola con mi hijo a xalapa.","Mis padres me visitan muy seguido.","Otro"
"podrias","Si te casas con tu novia, quizá puedas entrar con el visado de ella (J1-J2), y <strong>podrias</strong> trabajar con un permiso.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"puede","Me contaba ayer una amiga que estaba cansada de su compañera de trabajo, no la soporta ni un minuto más...se cree impresindible y mira a todo el mundo como si fueran gusanos a los que ella <strong>puede</strong> pisar sin compasión.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"supongo","A mí Shakira tampoco me cae bien, pero, a excepción de lo de montar en moto sin casco que, además, <strong>supongo</strong> que serían 15 metros a 20 km/h, no veo más que publicidad por todas partes: se habla de Shakira y su nuevo disco y de Barcelona... Traducción: publicidad para Shakira, publicidad para Barcelona.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"particularmente","Lo de los hoteles es <strong>particularmente</strong> falso, un 3 estrellas español suele ser ya un bastante buen hotel.","Esto no es particularmente divertido.","Otro"
"un par","Oye en Sevilla hay <strong>un par</strong> de sitios, en mi barrio, que pides la bandejita de fritos variados y te sientas en los veladores y cuando esta listo, te llaman por un altavoz, que arte :) ""Pepe, ven por tu pescaito mi arma""","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"varios","en cuanto a lo de los cursos de ingles, hay muchos que son gratuitos, en los institutos normales preguntas por cursos de ingles y tienen <strong>varios</strong> niveles y son gratis, yo antes de estar en londres vivia en Ascot un pueblecito por Berkshire y fui al instituto y me apunte a un curso de 4 meses gratis de esos del certificado de Cambridge y tal, primero te hacen una prueba de nivel y luego te colocan en un curso, esta bien porque lo puedes compaginar con el trabajo.","Tenemos varios servicios disponibles.","Otro"
"alguno","Acabo de llamar al Ministerio,le dije que mi solicitud estaba como icnrita,le dije fecha que la envie y todo.Me han contestado una mujer diciendo que son muchas y que la fecha no tiene orden <strong>alguno</strong>,que ya han dado solucion a varias como admitidas,uqe tambien han excluido muchas definitivas y han registrado y que si no me ha llegado nada es normal esta icnrita peor aun no han revisado mi solicitud por papel.","Pedro no dejó rastro alguno.","Otro"
"raramente","También si está amueblado, qué incluye y que no incluye, <strong>raramente</strong> (pero alguna vez) en la renta ya va incluido el council tax o el agua.. pero normalmente el inquilino es reponsable de darse de alta en las « utilities », si es por duración de 6 meses, un año, y si tienes una cláusula que te permite salirte del contrato a los x meses, etc..","Raramente ceno en ese restaurante.","Otro"
"poco","Tuve la suerte de vivir en Nueva York y desde hace <strong>poco</strong> vivo en Londres, pudiendo completar así mi NyLon particular.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"un par","A ver, <strong>un par</strong> de preguntitas, la cama es doble o sencilla?","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"esencialmente","Aprender no solo con respecto al mundo que nos rodea sino, <strong>esencialmente</strong>, con respecto a lo que somos los seres humanos, a la complejdad del pensamiento y al por que nos comportamos del modo en que lo hacemos.","La película es esencialmente una parodia.","Otro"
"podria","El otro problema que pudiera tener es que si tiene tanto éxito, deja de haber oferta y demanda en los mercados internacionales de moneda y <strong>podria</strong> influencia el valor de referencia, en ese caso habría otros medios para establecer un valor, por ejemplo uno interno de la web.","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"suena","Me gusta como <strong>suena</strong>.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"se ve","Ese pecado de limpiar solo donde <strong>se ve</strong> y no en las esquinas se le llama ""barrer por donde ve la suegra"", y es mi deporte favorito.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"generalmente","Estoy de au pair con una familia y entre semana solo puedo moverme x la zona, xo los findes los tengo libres <strong>generalmente</strong>.","Generalmente no salgo los jueves por la tarde.","Otro"
"mas o menos","- Lo del tipo de documentacion, creo que <strong>mas o menos</strong> lo se por lo que he podido encontrar en Google, pero si a alguien le han pedido algo raro, por favor compartidlo.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"sin duda","Para mi lo mejor de la cuidad es <strong>sin duda</strong> la oferta cultural que tiene, encuentras de todo para todos los publicos.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"relativamente","Yo es que soy un poco friki y uno de mis sitios preferidos en Dinamarca es el castillo de Kronborg (donde se supone que se ambienta Hamlet) que está en Helsingør, <strong>relativamente</strong> cerca...","Esto debería de ser relativamente sencillo.","Otro"
"poco","He visto algun hilo de desesperacion bueno la verdad que yo llevo <strong>poco</strong> tiempo aqui pero esta claro que aqui se está por un motivo sino hay otros sitios donde un espanol se encuentra mejor y mas si somos de playa y sin nieve.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"especulo","Pero si la historia ha sido como yo la imagino o <strong>especulo</strong>... olé sus huevos.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"a veces","Otra cosa, he estado leyendo que <strong>a veces</strong> si pierdes tu avión te recolocan en otro?? imagino que será si haces todos los vuelos con la misma compañía, no?","A veces puedo ser un poco molesto.","Otro"
"frecuentemente","Ya sé que quizás no sea este el mejor foro para preguntar esto, pero ya que últimamente lo visito <strong>frecuentemente</strong> y que hay bastante buena voluntad y presteza por parte de los usuarios de ayudar, pues aquí dejo mi duda.","Mis padres me visitan frecuentemente.","Otro"
"parece","-untarme con nutella (lo del baño me <strong>parece</strong> demasiado pegajoso)","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"diria","Como <strong>diria</strong> mi admirado Forges.... "" Paissss...!!!""","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"principalmente","Como no conozco la zona, ni las comunicaciones ni los transportes, ¿qué ciudades periféricas a Amsterdam me recomendáis para vivir teniendo en cuenta mi nuevo lugar de trabajo y que movería en transporte público <strong>principalmente</strong> y ocasionalmente en moto?.","El orégano se usa principalmente como condimento.","Otro",""
"raramente","Efectivamente pero te darás cuenta que los hilos <strong>raramente</strong> se ciñen única y exclusivamente al tema principal.","Raramente ceno en ese restaurante.","Otro"
"multiples","Pues por <strong>multiples</strong> sitios he estado en las ultmas tres semanas Victorio como bien atestigua mi cansado y maltratado higado...","Tenemos múltiples servicios disponibles.","Otro"
"encuentro","Igual que yo, pero no <strong>encuentro</strong> una respuesta clara en los historiales del foro.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"raramente","Aquí puedes encontrar a los más ateos del mundo, pero a los mas creyentes; a los más obesos y a la misma vez a los mejores deportistas del mundo; a los más pobres y a los más ricos; a incultos y a sabios, pero nos guste o no, o lo queramos recocer o no, los EEUU siempre será un país que levanta pasiones, envidia, curiosidad, pero <strong>raramente</strong> indiferencia.","Raramente ceno en ese restaurante.","Otro"
"sugiero","Te <strong>sugiero</strong> que las leas atentamente.","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"tal vez","De lo único que m alegro es cuando leo en algún post en YouTube d algún cocainómano/ heroinómano, etc diciendo que <strong>tal vez</strong> sea la hora d acabar con eso.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"asumo","Por lo demas <strong>asumo</strong> que al igual que me paso en cuando llegue a alemania las cosas se hacen de manera diferente y que cosas que doy por hecho seran de otro modo.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"no se","al NorthWoods solo he ido un par de veces, a ver si me fijo mejor y encuentro la maldita piedra pomez, la verdad es que <strong>no se</strong> me ha ocurrido mirar allí :S","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"virtualmente","Hilo relacionado que te puede aportar ideas y que abrió la fallecida <strong>virtualmente</strong> @elenasinhache.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"deberia","""Para que se reproduzcan las condiciones, primero se <strong>deberia</strong> matar al paciente, desconectándole el cerebro completamente.""","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"propongo","Yo <strong>propongo</strong> que el autor sea español o hispanoamericano para que el libro esté en castellano y así asegurarnos de que todo el mundo lo puede leer sin problemas.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"creo","<strong>creo</strong> que el principal problema es que la gente confunde ""lo que le gustaría que pasara"" con ""lo que realmente pasa"".","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"ocasionalmente","A mí algunas faltas me duelen, pero lo de escribir en mensaje SMS, de texto es que me mata, porque no estoy acostumbrada a leerlo, me cuesta mucho descifrar que preguntan, incluso de amigos que me mandan mensajes <strong>ocasionalmente</strong>.","Ocasionalmente visito a mis tíos en España.","Otro"
"considero","Cuando llevo algo que <strong>considero</strong> valioso, pongo encima de todo, dentro de la maleta un listado con las cosas que van adentro, si son electrónicas hasta el # de serie y parece que ""impresiona"" porque nunca se pierden las cosas del listado.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"encuentro","Está en el campo, así que me <strong>encuentro</strong> bastante aislada, no conozco a nadie, y me encantaría poder quedar con alguien para un te o lo que sea, la cuestión es relacionarme un poco!!! Voy a Wisbech los jueves a clase de inglés, también voy a March todas las semanas varias veces, según he visto Ely está a menos de media hora, Chaterris tampoco está muy lejos... Pues toda es zona.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"imagino","<strong>imagino</strong> que en Reunion venderan farmacos franceses, olvidate del Hemoal y pide Germoloids de Bayer XD","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"no se","Lo que no se puede hacer, a falta de 20 minutos de final es sacar a Pedrito y a Torres para que arreglen el partido, porque <strong>no se</strong> puede.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"medio","Adhule, no te preocupes que el avion es un <strong>medio</strong> de transporte muy seguro, yo tambien he volado con ryanair y no ha pasado nada, estuve trabajando en el aeropuerto y se que el avión lo revisan y que si notan lo mas minimo no sale, ademas piensa la cantidad de aviones que salen y entran al dia por ejemplo en barajas, y nunca ha pasado nada, y asi en un monton de aeropuertos de todo el mundo, asi que eso no sea un problema para poder alcanzar tus objetivos.","Juan está medio loco.","Mi asiento es el de en medio."
"aparentemente","De lo que me quedan dudas, si leí bien la noticia, es de cómo se filtró la frase, porque <strong>aparentemente</strong> fue en el marco de una reunión del tipo con autoridades indias, no en una charla pública.","Aparentemente habrá un concierto esta tarde.","Otro"
"espero","<strong>espero</strong> que no haya problema, aunque lo mismo vale más la pena hacerlo así.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"creo","¿Qué tal un tocino de cielo? a mi me encanta y <strong>creo</strong> que es muy español.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"confio",", yo entiendo lo que has querido decir desde el principio, y por eso yo en principio siempre <strong>confio</strong> en la buena intención de las personas e intento no sacar las cosas de contexto... ;)","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"seguido","""Acto <strong>seguido</strong>, Martínez dio a entender que la mujer que aborta ""mata a un niño indefenso"" y, por tanto, ""da a los varones la licencia absoluta, sin límites, de abusar"" de su cuerpo.""","Mis padres me visitan muy seguido.","Otro"
"deberias","Para ello se necesita el código swift y el número internacional de la cuenta (por así llamarlo)supongo que también se podrá hace a la inversa y para ello <strong>deberias</strong> de ponerte en contacto con los dos bancos sobre todo con el americano para que te faciliten esos datos bancarios,aquí se le llama ""Wire transfer"" no sé en español.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"varios","Si te vienes a UK <strong>varios</strong> meses, lo suyo es que te abras cuenta aqui.","Tenemos varios servicios disponibles.","Otro"
"puede","Siempre he vivido en un piso y no se cuanto se <strong>puede</strong> llegar gastar en calefaccion en una casa.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"parece","A mí me <strong>parece</strong> que está estupenda.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"tecnicamente","Porque es una leyenda viviente que nos ha salvado en todos los partidos al menos una vez y porque me es imposible desacar a un solo jugador de campo de España, simplemente estuvieron todos espectaculares.... menos Arbeloa el unico del 11 inicial de España no incluido en la lista del torneo por la UEFA (y mira que los contrarios le dejaban una autopista para que subiera, pero el chaval es limitado, defiende bien pero <strong>tecnicamente</strong> no...)","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"algun","Me pregunto, si además hay que presentar certificado de nivel de inglés, algun certificado de salud, <strong>algun</strong> documento de familia, o algun otro que requiera pedirlo antes...","Algún lápiz habrá caído por la abertura.","Otro"
"bastantes","He visto precios en fnac, mediamark y worten (alguna recomendacion??) y por unos 400/500€ hay <strong>bastantes</strong> cosas.","Hay bastantes cosas por hacer.","Otro"
"quiza","por los comentarios que pone, por el avatar o la foto, el nick... etc. <strong>quiza</strong> nunca hayas hablado con el/ella pero te llama la atención y te pica la curiosidad...","Quizá sea mejor que hablemos con tu familia.","Otro"
"parece","la verdad es que <strong>parece</strong> que pillamos a un parde pirados que madre jaja","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"gran parte","Por tanto es un ""problema"" del medio en sí, que cambia la actitud de la gente y oculta <strong>gran parte</strong> del mensaje.","Una gran parte de ustedes me conoce.","Otro"
"parece","Pues aquí sentadita sin mover un dedo me ha surgido una oportunidad bastante buena de trabajo (o eso <strong>parece</strong>) que tendré que valorar poniendo todo en la balanza.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"parcialmente","Yo creo que sí que hay que diferenciarlo, no es lo mismo una persona que tenga toda sus raíces en España,que una persona cuyas raíces estén <strong>parcialmente</strong> en España.","Lo que dices es parcialmente verdadero.","Otro"
"raramente","Me he fijado que estos y otras razas similares siempre llevan abrigos en invierno....pero <strong>raramente</strong> los veo en el parque cuando vamos a jugar!","Raramente ceno en ese restaurante.","Otro"
"usualmente","La contraparte son los Conservadores, <strong>usualmente</strong> miembros del Partido Republicano.","Usualmente no salgo los jueves por la tarde.","Otro"
"suena","Por cierto que LuxAeterna también se apunta, aunque aún tiene que mirar el transporte desde Overpelt, en la otra punta del país (cómo <strong>suena</strong> eso!)","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"algo","Saco mi EC-Karte (la tarjeta esta alemana que no es ni visa ni nada) para comprobar que el logo es el mismo, y que no me he metido en una oficina del ""DeHucha Bank"" o <strong>algo</strong> así, pero no, efectivamente estoy en una oficina de un banco con el mismo nombre, el mismo logo, el mismo branding, pero que no tiene NADA que ver con el banco en el que me hice una cuenta.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"casi","Mi punto es: Bien, los españoles no dicen por favor, ni gracias ni tienen los convencionalismos sociales que existen en <strong>casi</strong> todos los países del mundo.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"frecuentemente","Según información directa de un suizo que se dedicaba a asistencia social, visitada en Zürich <strong>frecuentemente</strong>, al parecer, por el gremio profesional del sexo, Zürich es una de las ciudades con mayor número de mujeres dedicadas a la más antigua profesión.","Mis padres me visitan frecuentemente.","Otro"
"hay quien","Eso si, de una marca un poco buena, las baratillas no <strong>hay quien</strong> las trague.","Hay quien dice que murió ahogado.","Otro"
"un poco","espero tener suerte... ya tengo <strong>un poco</strong> de miedo.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"algun","¿<strong>algun</strong> consejo para que salga bien el pavo?","Algún lápiz habrá caído por la abertura.","Otro"
"seguido","Ha <strong>seguido</strong> adelante el tema ??","Mis padres me visitan muy seguido.","Otro"
"hay quien","Ya se ha acostumbrado a los mince pies y no <strong>hay quien</strong> la pare! ya va por la cuarta caja que se ha zampado!!","Hay quien dice que murió ahogado.","Otro"
"por decir algo","Lo del flamenco es un ejemplo, extremo, <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"aparentemente","<strong>aparentemente</strong> es un grifo convencional de dos llaves y un pitorro, por lo que los ingenuos como yo, caemos como chinos y acabamos acordándonos de toda la familia del casero.","Aparentemente habrá un concierto esta tarde.","Otro"
"imagino","Si te vas a los 30, ya <strong>imagino</strong> que vas con la pareja y a vivir solo, que es lo que se hace en España, pero la cosa es que compartiendo se podría uno independizar mucho antes.","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"relativamente","Pero además del problema del idioma, que exigen un nivel muy alto de Inglés, existe también el problema de que para puestos <strong>relativamente</strong> cualificados prefieren a británicos.","Esto debería de ser relativamente sencillo.","Otro"
"tecnicamente","España está en estado catastrófico, <strong>tecnicamente</strong> el país está rescatado, y el nivel de deuda, desempleo, miseria, precariedad y desesperación están en sus puntos más altos de toda la democracia.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"usualmente","Animo a todos a exigir vuestros derechos cuando vayais a una oficina de administración pública, porque los funcionarios <strong>usualmente</strong> son vagos, no quieren trabajar y entre ellos se cubren esa falta de dedicación a un trabajo que pagamos nosotros.","Usualmente no salgo los jueves por la tarde.","Otro"
"esencialmente","El movimiento es <strong>esencialmente</strong> la aplicación del método científico para fines sociales.","La película es esencialmente una parodia.","Otro"
"asumo","Pertenezco a ese sector que no sabe lo que significa el TAE, el AER y demas familia, asi que si leo 1% <strong>asumo</strong> que me dan el 1% de lo que meta o un poco menos, a la cuenta de la vieja.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"confio","Cuando tenga niños, no sé qué pasará... Pero <strong>confio</strong> en salir adelante... Vamos, que hoy estoy positiva y pienso en positivo","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"propongo","<strong>propongo</strong> quedada general para subir a Edimburgo y que  nos cuente sus experiencias.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"basicamente","En psicología si algo descubrí es que cada escuela afirmaba que las otras estaban desfasadas o bien eran <strong>basicamente</strong> erróneas.","La película es básicamente una parodia.","Otro"
"asumo","Sitios como Sandyford, Stillorgan, Dundrum, (conozco más el sur) eran cuatro casas y poco más, o en muchos casos sólo enormes prados, y <strong>asumo</strong> que en el norte con blanchardstown, swords, o el oeste de la ciudad es exactamente lo mismo.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"tal vez","Detrás de su cara de gilipollas, con las cejas en alto, <strong>tal vez</strong> en su cabeza se estuviera preguntando ""qué carajos me estará diciendo el africano éste?"" pretendiendo irse de rositas.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"deberia","Necesito una respuesta antes del 1-9-2013 que es cuando <strong>deberia</strong> mudarme.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"la mayoria","Yo tambien hace anyos que no iba a Londres, entonces <strong>la mayoria</strong> de espanyoles que se veian eran turistas haciendo fotos... ultimamente estoy yendo bastante y se ven muchos menos turistas espanyoles, pero muchos jovenes con trabajos basura, repartiendo publicidad, etc, con un ingles bastante pobre.","La mayoría de ustedes me conoce.","Otro"
"rara vez","certificado de penales con traducciòn literal.<strong>rara vez</strong> lo exigen,pero no viene de màs tenerlo.","Rara vez ceno en ese restaurante.","Otro"
"seguido","no es el cuento de la cigarra y de la hormiga, si firmas un contrato lo tendras que cumplir, es una realidad no un cuento, y el que lo haya firmado y no lo haya <strong>seguido</strong> pues es lo que hay!","Mis padres me visitan muy seguido.","Otro"
"generalmente","Despues de los atentados <strong>generalmente</strong> la gente esta mas espabila, hablando generalmente,,, como en los trenes de ya sabeis donde hasta los aviones de todas partes y bueno, en cosas asi, la gente sabe de que va el rollo.","Generalmente no salgo los jueves por la tarde.","Otro"
"quiza","Tambien puedes ver la frecuencia, el tiempo que le cuesta llegar del centro a la universidad y los horarios en los que funciona, <strong>quiza</strong> no te compense... Si ya quieres vivir en otra zona y hacer trasbordo...","Quizá sea mejor que hablemos con tu familia.","Otro"
"un par","Si vas a los USA un par de veces al anho y te quedas <strong>un par</strong> de semanas cada vez para que no sea demasiado obvio, y mantienes una cuenta bancaria y todas tus tarjetas de credito pues nadie te va a decir nada.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"siento","illu, tu vestido promete, <strong>siento</strong> que la idea mental que me he creado no va a tener absolutamente nada que ver con el resultado final.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"propongo","Pues esque es un rollo lo que te <strong>propongo</strong>, pero yo de ti tendria todo bajo llave jaja","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"encuentro","Hay una frase que has puesto: "" la sensación de que mi tiempo aquí se acaba y que debo pensar en el próximo destino"", para luego terminar diciendo "" frente a esa encrucijada de caminos en la que ahora yo me <strong>encuentro</strong>"".","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"entiendo","Lo que no <strong>entiendo</strong> es como los que viven con contratos temporales estan tan a favor de las indemnizaciones por despido.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"la mayoria","No lo sé, puede que sea de pueblo y que la gente con la que me muevo sea distinta, pero yo estoy segura de que <strong>la mayoria</strong> de la gente que conozco ante casos así denunciaría.","La mayoría de ustedes me conoce.","Otro"
"quiza","En segundo lugar quedarían el francés y el árabe, <strong>quiza</strong>.","Quizá sea mejor que hablemos con tu familia.","Otro"
"considero","<strong>considero</strong> que hablo bien alemán, incluso con el tiempo la ü, la ä y la ö no son problemáticas, pero efectivamente los tiempos no los controlo, es más, muchas veces cuando la gente se ríe porque he dicho ""Schief"" en lugar de ""Schiff"" les pido que lo pronuncien y la diferencia, para ellos clarísima, es para mí casi imperceptible e impracticable, por mucho que lo oiga y por mucho que me sepa la teoría.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"un poco","Estar en un país desconocido, con una lengua no materna puede resultar <strong>un poco</strong> difícil al principio, contar con un apoyo siempre viene bien.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"basicamente","<strong>basicamente</strong> te lavan con un guante de crin todo el cuerpo (exceptuando tus partes mas íntimas).","La película es básicamente una parodia.","Otro"
"deberias","Creo que no <strong>deberias</strong> de tener problemas, en cualquier caso enterate correctamente cuanto antes porque si no tus opciones seria pedir el waiver a la embajada o irte mediante H1B, y las cosas se ponen mas dificiles.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"principalmente","Me parece que la tendencia es bastante positiva, algunos dirán que podrían haberse hecho las cosas más rápidamente, pero no había medios humanos (<strong>principalmente</strong>) ni económicos.","El orégano se usa principalmente como condimento.","Otro",""
"siento","Yo no lo he probado nunca (ni una calada!) y <strong>siento</strong> decir que soy muy intransigente con los fumadores, así que me he alegrado mucho de ver este hilo y de todos aquellos que estáis saliendo de esa prisión.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"ocasionalmente","Pero ya lo que lo dices, prefiero beber acompañado, eso no significa que tomar algo por cuenta propia <strong>ocasionalmente</strong> me parezca un tabú.","Ocasionalmente visito a mis tíos en España.","Otro"
"aproximadamente","Me voy a Ciudad del Cabo <strong>aproximadamente</strong> en febrero, y puede ser que con trabajo ya desde aquí, en ello estamos, así que mi duda es, el visado que te dan yendo con trabajo es también de 6 meses y luego hay que renovarlo y pasar por toda la movida esa???","La pared mide aproximadamente 15 metros.","Otro"
"quiza","Y <strong>quiza</strong> echar de menos ciertas cosas.","Quizá sea mejor que hablemos con tu familia.","Otro"
"se ve","A veces una situación de infidelidad <strong>se ve</strong> venir, se puede evitar.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"entiendo","Y  creo que @lalautri2 esta casada con un britanico y por lo que <strong>entiendo</strong> no es de "" solo te susurran cuando esta borrachos o colocaos.""","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"hay quien","<strong>hay quien</strong> le gusta y se lo echa incluso al huevo frito con ajo... pero yo prefiero el limón...","Hay quien dice que murió ahogado.","Otro"
"quiza","Y dejaría viernes-sábado y <strong>quiza</strong> domingo (dependería del vuelo) para conocer NY y salir por ahí.","Quizá sea mejor que hablemos con tu familia.","Otro"
"casi","Una vez hace muuuchos anyos un profe de espanyol de la universidad de Frankfurto me dijo algo que nunca olvidaré, mitad en plan conya, mitad verdad como un templo, que las parejas de alemán y espanyola suelen funcionar muy bien, claro que nunca se puede generalizar, pero al contrario alemana con espanyol <strong>casi</strong> nunca...","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"creo","Sin embargo <strong>creo</strong> que ubik en su segundo comentario explica muy bien la situación, esos mexicanos son personas que en México viven en chabolas, en su vida entera soñarían con comprar siquiera una bicicleta, se compran pocas cosas en plazos pagando 40 veces el valor del producto, para irse a EEUU se pagan un pasaje de autobús que en el peor de los casos desde Oaxaca les sale en mil quinientos pesos (100 dólares) y por otros mil dólares les pasan la frontera y los llevan hasta Nebraska (por decir un sitio), para conseguir esa pasta se tardaron dos años de trabajo en México y ya en EEUU les pagan eso mismo en un par de meses, se compran un coche o camioneta y a vivir la vida.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
